JunctionName,Date,timeOfDay,travel_Direction_in,travel_Direction_out,Weather_Conditions,JunctionSpeedLimit,VehicleSpeed,VehicleType,elctricHybrid
Victoria Street/Albert Road,19/08/2024,00:02:12,N,S,Heavy Rain,40,28,Motorbike,False
London Road/Station Way,19/08/2024,00:04:12,E,W,Heavy Rain,50,34,Van,False
Victoria Street/Albert Road,19/08/2024,00:20:49,W,E,Heavy Rain,40,5,Scooter,True
Victoria Street/Albert Road,19/08/2024,00:30:13,S,S,Heavy Rain,40,52,Van,True
London Road/Station Way,19/08/2024,00:31:27,W,W,Heavy Rain,50,10,Motorbike,True
Victoria Street/Albert Road,19/08/2024,00:31:50,W,W,Heavy Rain,40,48,Bus,False
London Road/Station Way,19/08/2024,00:32:32,N,W,Heavy Rain,50,13,Buss,True
Victoria Street/Albert Road,19/08/2024,00:37:06,E,W,Heavy Rain,40,12,Van,True
London Road/Station Way,19/08/2024,00:42:59,E,E,Heavy Rain,50,31,Car,False
Victoria Street/Albert Road,19/08/2024,00:49:42,N,N,Heavy Rain,40,10,Motorcycle,True
Victoria Street/Albert Road,19/08/2024,00:58:37,W,N,Heavy Rain,40,22,Scooter,False
Victoria Street/Albert Road,19/08/2024,01:04:19,N,N,Heavy Rain,40,38,Bicycle,True
London Road/Station Way,19/08/2024,01:05:03,N,S,Heavy Rain,50,11,Scooter,True
Victoria Street/Albert Road,19/08/2024,01:07:15,E,N,Heavy Rain,40,55,Van,False
Victoria Street/Albert Road,19/08/2024,01:08:04,N,N,Heavy Rain,40,11,Scooter,True
Victoria Street/Albert Road,19/08/2024,01:11:25,S,E,Heavy Rain,40,26,Van,False
Victoria Street/Albert Road,19/08/2024,01:13:29,W,N,Heavy Rain,40,11,Van,False
London Road/Station Way,19/08/2024,01:19:42,S,E,Heavy Rain,50,57,Motorbike,False
Victoria Street/Albert Road,19/08/2024,01:19:58,W,N,Heavy Rain,40,47,Motorcycle,True
