JunctionName,Date,timeOfDay,travel_Direction_in,travel_Direction_out,Weather_Conditions,JunctionSpeedLimit,VehicleSpeed,VehicleType,elctricHybrid
Hanley Highway/Westway,26/06/2024,18:32:51,NW,W,Sunny,20,20,Truck,False
Elm Avenue/Rabbit Road,26/06/2024,09:48:15,S,N,Overcast,30,28,Buss,False
Elm Avenue/Rabbit Road,26/06/2024,02:04:42,S,E,Overcast,30,16,Car,False
Elm Avenue/Rabbit Road,26/06/2024,02:19:09,N,N,Overcast,30,25,Car,False
Hanley Highway/Westway,26/06/2024,10:47:15,S,S,Rain,20,11,Car,False
Elm Avenue/Rabbit Road,26/06/2024,19:56:41,E,E,Clear,30,17,Car,False
Elm Avenue/Rabbit Road,26/06/2024,17:14:15,N,W,Clear,30,16,Car,True
Elm Avenue/Rabbit Road,26/06/2024,15:54:50,N,N,Heavy Rain,30,15,Buss,False
Hanley Highway/Westway,26/06/2024,21:16:06,S,NW,Light Rain,20,13,Truck,True
Elm Avenue/Rabbit Road,26/06/2024,19:24:15,W,E,Rain,30,22,Van,True
Hanley Highway/Westway,26/06/2024,00:02:01,NE,NW,Clear,20,15,Car,False
Hanley Highway/Westway,26/06/2024,15:56:44,S,S,Rain,20,16,Car,False
Elm Avenue/Rabbit Road,26/06/2024,13:02:28,S,N,Overcast,30,22,Motorcycle,False
Elm Avenue/Rabbit Road,26/06/2024,00:47:27,E,N,Heavy Rain,30,20,Van,True
Hanley Highway/Westway,26/06/2024,04:57:50,SE,W,Clear,20,9,Van,False
Elm Avenue/Rabbit Road,26/06/2024,19:15:26,S,E,Overcast,30,37,Scooter,False
Hanley Highway/Westway,26/06/2024,11:41:38,NW,NW,Light Rain,20,6,Bicycle,False
Elm Avenue/Rabbit Road,26/06/2024,18:35:44,N,N,Clear,30,35,Buss,False
Elm Avenue/Rabbit Road,26/06/2024,12:56:45,W,W,Sunny,30,26,Van,False
Hanley Highway/Westway,26/06/2024,09:06:28,S,SW,Clear,20,7,Van,False
Elm Avenue/Rabbit Road,26/06/2024,14:49:40,W,S,Overcast,30,38,Truck,False
Elm Avenue/Rabbit Road,26/06/2024,05:26:33,N,N,Light Rain,30,20,Motorcycle,False
Hanley Highway/Westway,26/06/2024,08:46:36,S,S,Overcast,20,22,Car,False
Hanley Highway/Westway,26/06/2024,07:46:39,SW,SE,Clear,20,14,Car,False
Hanley Highway/Westway,26/06/2024,09:32:46,E,E,Light Rain,20,11,Car,True
Hanley Highway/Westway,26/06/2024,18:19:10,W,W,Overcast,20,9,Car,False
Elm Avenue/Rabbit Road,26/06/2024,07:59:00,E,N,Rain,30,19,Scooter,False
Hanley Highway/Westway,26/06/2024,14:06:52,N,SE,Sunny,20,11,Buss,True
Hanley Highway/Westway,26/06/2024,16:34:56,SE,SE,Overcast,20,39,Bicycle,False
Hanley Highway/Westway,26/06/2024,03:57:30,S,E,Overcast,20,7,Car,False
Hanley Highway/Westway,26/06/2024,19:36:12,S,NW,Light Rain,20,16,Van,True
Hanley Highway/Westway,26/06/2024,17:42:28,SE,SE,Overcast,20,19,Buss,True
Elm Avenue/Rabbit Road,26/06/2024,01:24:11,N,W,Sunny,30,19,Van,False
Elm Avenue/Rabbit Road,26/06/2024,06:31:26,N,W,Clear,30,20,Car,False
Hanley Highway/Westway,26/06/2024,04:20:44,E,E,Clear,20,12,Motorcycle,False
Elm Avenue/Rabbit Road,26/06/2024,03:48:18,W,S,Sunny,30,27,Buss,False
Hanley Highway/Westway,26/06/2024,01:21:12,NW,W,Light Rain,20,18,Motorcycle,False
Hanley Highway/Westway,26/06/2024,16:58:36,SW,NE,Cloudy,20,13,Buss,False
Hanley Highway/Westway,26/06/2024,06:45:30,NW,NW,Rain,20,16,Car,True
Elm Avenue/Rabbit Road,26/06/2024,08:03:53,N,S,Rain,30,30,Buss,False
Elm Avenue/Rabbit Road,26/06/2024,16:16:29,N,S,Clear,30,27,Car,False
Hanley Highway/Westway,26/06/2024,00:21:30,NW,NW,Overcast,20,20,Bicycle,False
Elm Avenue/Rabbit Road,26/06/2024,17:12:20,W,W,Rain,30,20,Truck,False
Hanley Highway/Westway,26/06/2024,06:27:07,E,E,Overcast,20,15,Car,False
Elm Avenue/Rabbit Road,26/06/2024,21:13:56,W,E,Overcast,30,49,Car,False
Hanley Highway/Westway,26/06/2024,05:14:59,E,NE,Rain,20,15,Van,False
Elm Avenue/Rabbit Road,26/06/2024,23:04:43,N,N,Clear,30,22,Truck,False
Elm Avenue/Rabbit Road,26/06/2024,04:31:41,E,E,Rain,30,18,Bicycle,False
Elm Avenue/Rabbit Road,26/06/2024,21:48:00,S,E,Light Rain,30,24,Bicycle,False
Elm Avenue/Rabbit Road,26/06/2024,22:22:55,W,W,Overcast,30,18,Truck,False
Hanley Highway/Westway,26/06/2024,03:37:33,N,NW,Overcast,20,34,Bicycle,False
Hanley Highway/Westway,26/06/2024,20:41:42,SE,SE,Cloudy,20,21,Bicycle,False
Hanley Highway/Westway,26/06/2024,12:28:05,SW,SW,Overcast,20,14,Car,False
Hanley Highway/Westway,26/06/2024,00:49:11,S,NE,Rain,20,5,Van,False
Elm Avenue/Rabbit Road,26/06/2024,23:06:19,W,E,Light Rain,30,21,Car,True
Hanley Highway/Westway,26/06/2024,08:55:47,W,W,Overcast,20,31,Motorcycle,True
Hanley Highway/Westway,26/06/2024,15:41:19,SE,W,Overcast,20,5,Car,False
Hanley Highway/Westway,26/06/2024,17:35:45,E,NW,Sunny,20,23,Buss,False
Elm Avenue/Rabbit Road,26/06/2024,15:06:33,W,W,Overcast,30,23,Truck,False
Elm Avenue/Rabbit Road,26/06/2024,14:08:24,W,W,Overcast,30,26,Car,False
Hanley Highway/Westway,26/06/2024,09:10:42,N,SE,Clear,20,32,Car,False
Hanley Highway/Westway,26/06/2024,04:11:20,E,E,Clear,20,16,Buss,False
Elm Avenue/Rabbit Road,26/06/2024,06:56:30,S,W,Sunny,30,16,Scooter,False
Elm Avenue/Rabbit Road,26/06/2024,00:01:29,W,W,Clear,30,25,Bicycle,False
Hanley Highway/Westway,26/06/2024,20:51:59,W,S,Rain,20,16,Van,False
Elm Avenue/Rabbit Road,26/06/2024,01:50:01,N,N,Overcast,30,22,Buss,False
Hanley Highway/Westway,26/06/2024,00:14:11,E,E,Light Rain,20,20,Buss,False
Elm Avenue/Rabbit Road,26/06/2024,08:27:36,E,E,Sunny,30,23,Motorcycle,False
Elm Avenue/Rabbit Road,26/06/2024,22:25:28,W,W,Rain,30,26,Car,False
Elm Avenue/Rabbit Road,26/06/2024,20:23:20,N,S,Sunny,30,18,Car,False
Elm Avenue/Rabbit Road,26/06/2024,17:51:22,E,W,Cloudy,30,38,Car,False
Elm Avenue/Rabbit Road,26/06/2024,16:19:03,E,E,Overcast,30,32,Motorcycle,True
Elm Avenue/Rabbit Road,26/06/2024,13:17:27,E,S,Clear,30,24,Van,False
Elm Avenue/Rabbit Road,26/06/2024,12:54:11,W,W,Clear,30,29,Motorcycle,True
Elm Avenue/Rabbit Road,26/06/2024,06:37:51,N,N,Heavy Rain,30,28,Truck,False
Hanley Highway/Westway,26/06/2024,03:58:00,SE,SE,Clear,20,35,Van,True
Hanley Highway/Westway,26/06/2024,14:38:08,E,NE,Clear,20,14,Car,False
Elm Avenue/Rabbit Road,26/06/2024,20:43:38,W,W,Overcast,30,17,Car,False
Hanley Highway/Westway,26/06/2024,10:36:15,SW,NE,Light Rain,20,13,Bicycle,False
Hanley Highway/Westway,26/06/2024,04:22:02,SE,SE,Clear,20,13,Scooter,False
Hanley Highway/Westway,26/06/2024,23:46:25,W,W,Clear,20,6,Van,False
Elm Avenue/Rabbit Road,26/06/2024,10:58:05,N,E,Light Rain,30,46,Buss,False
Elm Avenue/Rabbit Road,26/06/2024,00:38:33,S,W,Clear,30,19,Car,True
Hanley Highway/Westway,26/06/2024,01:12:38,NE,S,Clear,20,15,Car,False
Elm Avenue/Rabbit Road,26/06/2024,15:32:23,S,S,Rain,30,19,Car,True
Hanley Highway/Westway,26/06/2024,00:13:13,E,E,Light Rain,20,8,Car,False
Elm Avenue/Rabbit Road,26/06/2024,03:28:32,W,S,Light Rain,30,44,Car,False
Elm Avenue/Rabbit Road,26/06/2024,11:22:47,N,N,Overcast,30,15,Van,False
Elm Avenue/Rabbit Road,26/06/2024,11:36:48,W,E,Light Rain,30,27,Motorcycle,True
Elm Avenue/Rabbit Road,26/06/2024,22:39:58,E,E,Light Rain,30,19,Scooter,False
Hanley Highway/Westway,26/06/2024,05:14:38,SE,N,Overcast,20,9,Car,False
Hanley Highway/Westway,26/06/2024,00:28:33,NE,NE,Overcast,20,35,Motorcycle,False
Elm Avenue/Rabbit Road,26/06/2024,15:30:20,E,W,Clear,30,29,Car,False
Elm Avenue/Rabbit Road,26/06/2024,22:34:08,W,E,Clear,30,29,Van,True
Elm Avenue/Rabbit Road,26/06/2024,12:19:58,N,N,Sunny,30,28,Van,False
Hanley Highway/Westway,26/06/2024,17:32:05,S,N,Clear,20,28,Buss,True
Hanley Highway/Westway,26/06/2024,10:50:10,NW,S,Light Rain,20,11,Bicycle,False
Hanley Highway/Westway,26/06/2024,19:31:46,W,E,Overcast,20,36,Motorcycle,False
Hanley Highway/Westway,26/06/2024,15:47:51,S,NE,Sunny,20,18,Buss,False
Elm Avenue/Rabbit Road,26/06/2024,22:51:55,S,S,Overcast,30,24,Truck,True
Hanley Highway/Westway,26/06/2024,21:02:39,SE,SE,Light Rain,20,5,Car,False
Elm Avenue/Rabbit Road,26/06/2024,05:06:04,S,S,Sunny,30,27,Motorcycle,False
Elm Avenue/Rabbit Road,26/06/2024,20:38:05,W,W,Light Rain,30,24,Car,False
Elm Avenue/Rabbit Road,26/06/2024,22:01:42,E,E,Clear,30,27,Car,False
Hanley Highway/Westway,26/06/2024,14:01:56,S,S,Overcast,20,10,Van,False
Hanley Highway/Westway,26/06/2024,01:26:54,N,N,Clear,20,17,Scooter,False
Hanley Highway/Westway,26/06/2024,08:14:59,NE,NW,Overcast,20,6,Truck,False
Elm Avenue/Rabbit Road,26/06/2024,04:31:02,W,W,Light Rain,30,44,Car,False
Hanley Highway/Westway,26/06/2024,13:51:58,SE,N,Overcast,20,19,Car,False
Elm Avenue/Rabbit Road,26/06/2024,16:45:19,W,W,Clear,30,27,Motorcycle,False
Elm Avenue/Rabbit Road,26/06/2024,11:35:32,S,S,Sunny,30,19,Car,False
Elm Avenue/Rabbit Road,26/06/2024,20:02:25,E,S,Clear,30,19,Buss,False
Elm Avenue/Rabbit Road,26/06/2024,08:09:40,E,E,Rain,30,42,Scooter,False
Hanley Highway/Westway,26/06/2024,20:15:59,E,E,Overcast,20,6,Car,False
Elm Avenue/Rabbit Road,26/06/2024,09:53:02,S,W,Overcast,30,30,Car,False
Hanley Highway/Westway,26/06/2024,11:28:51,NE,S,Clear,20,12,Motorcycle,False
Hanley Highway/Westway,26/06/2024,23:20:36,E,E,Clear,20,24,Car,False
Hanley Highway/Westway,26/06/2024,22:59:25,SE,SE,Clear,20,20,Bicycle,False
Hanley Highway/Westway,26/06/2024,19:17:42,NE,E,Heavy Rain,20,8,Car,False
Hanley Highway/Westway,26/06/2024,08:34:15,NW,SE,Cloudy,20,15,Scooter,False
Hanley Highway/Westway,26/06/2024,07:28:53,NW,W,Heavy Rain,20,11,Car,True
Elm Avenue/Rabbit Road,26/06/2024,15:42:17,S,W,Cloudy,30,16,Bicycle,False
