JunctionName,Date,timeOfDay,travel_Direction_in,travel_Direction_out,Weather_Conditions,JunctionSpeedLimit,VehicleSpeed,VehicleType,elctricHybrid
Maple Avenue/Cedar Lane,02/09/2024,00:19:44,N,N,Heavy Rain,40,23,Buss,False
Mill Road/Factory Street,02/09/2024,00:29:21,W,W,Heavy Rain,40,27,Truck,False
Mill Road/Factory Street,02/09/2024,00:36:21,E,N,Heavy Rain,40,26,Buss,False
Mill Road/Factory Street,02/09/2024,00:38:19,S,N,Heavy Rain,40,54,Truck,False
Maple Avenue/Cedar Lane,02/09/2024,00:41:42,E,N,Heavy Rain,40,17,Truck,False
Maple Avenue/Cedar Lane,02/09/2024,00:47:44,S,N,Heavy Rain,40,8,Car,False
Maple Avenue/Cedar Lane,02/09/2024,00:47:50,S,N,Heavy Rain,40,33,Scooter,False
Mill Road/Factory Street,02/09/2024,00:49:22,W,W,Heavy Rain,40,22,Bicycle,False
Maple Avenue/Cedar Lane,02/09/2024,00:49:53,E,S,Heavy Rain,40,13,Motorbike,True
Maple Avenue/Cedar Lane,02/09/2024,00:54:10,W,W,Heavy Rain,40,31,Car,False
Mill Road/Factory Street,02/09/2024,00:56:42,N,S,Heavy Rain,40,54,Motorbike,True
Mill Road/Factory Street,02/09/2024,00:57:48,W,S,Heavy Rain,40,8,Buss,True
Maple Avenue/Cedar Lane,02/09/2024,01:00:13,N,E,Heavy Rain,40,51,Motorbike,False
Maple Avenue/Cedar Lane,02/09/2024,01:07:33,W,N,Heavy Rain,40,20,Motorcycle,False
Maple Avenue/Cedar Lane,02/09/2024,01:10:25,S,W,Heavy Rain,40,7,Motorbike,False
Mill Road/Factory Street,02/09/2024,01:11:35,S,E,Heavy Rain,40,39,Buss,False
Mill Road/Factory Street,02/09/2024,01:16:54,E,N,Heavy Rain,40,6,Motorbike,True
Maple Avenue/Cedar Lane,02/09/2024,01:21:58,N,N,Heavy Rain,40,28,Bicycle,False
Mill Road/Factory Street,02/09/2024,01:23:25,E,W,Heavy Rain,40,30,Scooter,False
Mill Road/Factory Street,02/09/2024,01:24:14,W,S,Heavy Rain,40,10,Van,False
Mill Road/Factory Street,02/09/2024,01:28:27,W,S,Heavy Rain,40,48,Bicycle,False
Mill Road/Factory Street,02/09/2024,01:35:50,E,S,Heavy Rain,40,41,Bicycle,False
Mill Road/Factory Street,02/09/2024,01:51:44,S,N,Heavy Rain,40,10,Motorcycle,False
Mill Road/Factory Street,02/09/2024,01:55:10,S,N,Heavy Rain,40,55,Car,True
Maple Avenue/Cedar Lane,02/09/2024,01:59:16,N,S,Heavy Rain,40,19,Bus,False
Maple Avenue/Cedar Lane,02/09/2024,02:08:18,E,E,Heavy Rain,40,18,Bus,True
Mill Road/Factory Street,02/09/2024,02:14:59,E,N,Heavy Rain,40,18,Bicycle,False
Mill Road/Factory Street,02/09/2024,02:19:11,E,W,Heavy Rain,40,47,Truck,True
Maple Avenue/Cedar Lane,02/09/2024,02:19:14,S,W,Heavy Rain,40,13,Bicycle,False
Mill Road/Factory Street,02/09/2024,02:26:23,S,N,Heavy Rain,40,48,Buss,False
Mill Road/Factory Street,02/09/2024,02:26:43,N,W,Heavy Rain,40,24,Motorbike,False
Mill Road/Factory Street,02/09/2024,02:26:52,S,W,Heavy Rain,40,27,Motorbike,False
Mill Road/Factory Street,02/09/2024,02:35:24,S,W,Heavy Rain,40,16,Van,True
Maple Avenue/Cedar Lane,02/09/2024,02:39:49,E,S,Heavy Rain,40,55,Scooter,False
Mill Road/Factory Street,02/09/2024,02:51:37,N,N,Heavy Rain,40,34,Buss,False
Maple Avenue/Cedar Lane,02/09/2024,02:56:25,E,N,Heavy Rain,40,14,Buss,True
Maple Avenue/Cedar Lane,02/09/2024,02:59:45,W,S,Heavy Rain,40,54,Buss,False
Maple Avenue/Cedar Lane,02/09/2024,03:00:04,S,S,Heavy Rain,40,47,Van,False
Maple Avenue/Cedar Lane,02/09/2024,03:00:20,N,E,Heavy Rain,40,16,Bicycle,True
Maple Avenue/Cedar Lane,02/09/2024,03:03:34,E,W,Heavy Rain,40,19,Car,False
Mill Road/Factory Street,02/09/2024,03:05:18,S,E,Heavy Rain,40,18,Motorbike,False
Mill Road/Factory Street,02/09/2024,03:09:02,S,N,Heavy Rain,40,42,Bus,False
Mill Road/Factory Street,02/09/2024,03:13:46,W,E,Heavy Rain,40,30,Motorcycle,False
Mill Road/Factory Street,02/09/2024,03:17:58,N,N,Heavy Rain,40,53,Motorcycle,False
Mill Road/Factory Street,02/09/2024,03:19:49,E,E,Heavy Rain,40,18,Car,False
Maple Avenue/Cedar Lane,02/09/2024,03:24:18,N,E,Heavy Rain,40,23,Motorcycle,True
Maple Avenue/Cedar Lane,02/09/2024,03:28:44,E,W,Heavy Rain,40,25,Truck,False
Maple Avenue/Cedar Lane,02/09/2024,03:31:06,S,S,Heavy Rain,40,14,Scooter,False
Maple Avenue/Cedar Lane,02/09/2024,03:32:20,W,E,Heavy Rain,40,44,Bus,False
Maple Avenue/Cedar Lane,02/09/2024,03:35:16,S,W,Heavy Rain,40,39,Bicycle,False
Maple Avenue/Cedar Lane,02/09/2024,03:38:27,S,S,Heavy Rain,40,23,Buss,True
Maple Avenue/Cedar Lane,02/09/2024,03:45:23,S,W,Heavy Rain,40,39,Motorbike,False
Maple Avenue/Cedar Lane,02/09/2024,03:48:24,E,N,Heavy Rain,40,17,Bicycle,False
Mill Road/Factory Street,02/09/2024,03:48:32,S,S,Heavy Rain,40,29,Car,True
Mill Road/Factory Street,02/09/2024,04:01:16,S,W,Heavy Rain,40,15,Car,True
Mill Road/Factory Street,02/09/2024,04:05:11,E,E,Heavy Rain,40,28,Car,False
Maple Avenue/Cedar Lane,02/09/2024,04:06:53,S,N,Heavy Rain,40,28,Bicycle,False
Mill Road/Factory Street,02/09/2024,04:10:09,W,S,Heavy Rain,40,49,Truck,False
Maple Avenue/Cedar Lane,02/09/2024,04:19:13,W,S,Heavy Rain,40,30,Bus,False
Mill Road/Factory Street,02/09/2024,04:22:35,S,S,Heavy Rain,40,16,Motorcycle,False
Maple Avenue/Cedar Lane,02/09/2024,04:31:13,N,E,Heavy Rain,40,14,Scooter,False
Mill Road/Factory Street,02/09/2024,04:32:05,W,E,Heavy Rain,40,8,Motorbike,True
Maple Avenue/Cedar Lane,02/09/2024,04:33:47,N,N,Heavy Rain,40,16,Buss,True
Mill Road/Factory Street,02/09/2024,04:36:05,S,N,Heavy Rain,40,31,Scooter,True
Mill Road/Factory Street,02/09/2024,04:39:50,S,N,Heavy Rain,40,13,Car,True
Mill Road/Factory Street,02/09/2024,04:44:56,N,S,Heavy Rain,40,28,Truck,True
Maple Avenue/Cedar Lane,02/09/2024,04:45:59,W,S,Heavy Rain,40,16,Bus,True
Mill Road/Factory Street,02/09/2024,04:54:49,S,N,Heavy Rain,40,20,Car,True
Mill Road/Factory Street,02/09/2024,04:59:07,N,E,Heavy Rain,40,51,Van,False
Maple Avenue/Cedar Lane,02/09/2024,05:00:55,E,W,Heavy Rain,40,54,Van,False
Maple Avenue/Cedar Lane,02/09/2024,05:02:27,W,N,Heavy Rain,40,26,Bicycle,False
Maple Avenue/Cedar Lane,02/09/2024,05:07:38,N,E,Heavy Rain,40,20,Truck,False
Mill Road/Factory Street,02/09/2024,05:07:54,S,N,Heavy Rain,40,34,Bicycle,True
