JunctionName,Date,timeOfDay,travel_Direction_in,travel_Direction_out,Weather_Conditions,JunctionSpeedLimit,VehicleSpeed,VehicleType,elctricHybrid
Hanley Highway/Westway,23/06/2024,09:40:23,SE,SE,Cloudy,20,17,Car,False
Hanley Highway/Westway,23/06/2024,18:09:55,W,N,Overcast,20,6,Car,False
Hanley Highway/Westway,23/06/2024,15:06:51,NE,W,Overcast,20,15,Car,False
Elm Avenue/Rabbit Road,23/06/2024,15:17:48,N,N,Sunny,30,24,Car,False
Hanley Highway/Westway,23/06/2024,09:51:12,SW,SW,Rain,20,13,Car,True
Elm Avenue/Rabbit Road,23/06/2024,08:15:00,S,S,Rain,30,17,Scooter,False
Hanley Highway/Westway,23/06/2024,21:56:53,E,S,Light Rain,20,17,Van,False
Elm Avenue/Rabbit Road,23/06/2024,04:48:16,S,E,Sunny,30,15,Buss,False
Elm Avenue/Rabbit Road,23/06/2024,08:06:24,S,S,Rain,30,23,Buss,True
Hanley Highway/Westway,23/06/2024,17:14:53,NW,SW,Overcast,20,10,Van,False
Hanley Highway/Westway,23/06/2024,00:34:39,NW,SE,Heavy Rain,20,16,Car,False
Hanley Highway/Westway,23/06/2024,08:39:58,S,S,Light Rain,20,15,Truck,False
Elm Avenue/Rabbit Road,23/06/2024,09:26:32,W,W,Cloudy,30,16,Buss,False
Elm Avenue/Rabbit Road,23/06/2024,22:40:19,E,E,Clear,30,23,Bicycle,True
Elm Avenue/Rabbit Road,23/06/2024,14:38:05,S,S,Cloudy,30,22,Van,False
Hanley Highway/Westway,23/06/2024,10:26:55,SE,E,Overcast,20,10,Van,False
Hanley Highway/Westway,23/06/2024,08:43:07,S,E,Light Rain,20,8,Car,False
Elm Avenue/Rabbit Road,23/06/2024,21:17:00,W,W,Light Rain,30,40,Scooter,False
Elm Avenue/Rabbit Road,23/06/2024,15:17:13,E,E,Overcast,30,21,Bicycle,True
Elm Avenue/Rabbit Road,23/06/2024,22:12:20,E,E,Overcast,30,16,Buss,False
Elm Avenue/Rabbit Road,23/06/2024,16:13:49,W,W,Clear,30,20,Car,False
Elm Avenue/Rabbit Road,23/06/2024,20:12:08,E,N,Overcast,30,29,Car,True
Hanley Highway/Westway,23/06/2024,10:33:41,NW,NW,Cloudy,20,10,Bicycle,False
Hanley Highway/Westway,23/06/2024,01:27:27,N,NW,Overcast,20,8,Buss,False
Elm Avenue/Rabbit Road,23/06/2024,18:40:46,S,S,Clear,30,16,Buss,True
Hanley Highway/Westway,23/06/2024,04:01:21,S,N,Clear,20,12,Car,False
Elm Avenue/Rabbit Road,23/06/2024,01:36:09,E,E,Overcast,30,30,Scooter,True
Hanley Highway/Westway,23/06/2024,16:11:24,SW,E,Overcast,20,20,Buss,False
Hanley Highway/Westway,23/06/2024,17:28:25,NE,W,Rain,20,8,Buss,False
Hanley Highway/Westway,23/06/2024,07:15:49,SW,SW,Light Rain,20,7,Car,False
Hanley Highway/Westway,23/06/2024,10:15:34,SE,SE,Overcast,20,12,Car,False
Hanley Highway/Westway,23/06/2024,20:48:44,E,N,Clear,20,22,Scooter,False
Hanley Highway/Westway,23/06/2024,20:39:19,SW,SW,Overcast,20,15,Car,False
Hanley Highway/Westway,23/06/2024,06:59:52,W,S,Sunny,20,19,Motorcycle,False
Elm Avenue/Rabbit Road,23/06/2024,20:23:16,W,W,Rain,30,26,Scooter,True
Hanley Highway/Westway,23/06/2024,14:02:50,E,E,Overcast,20,20,Truck,False
Elm Avenue/Rabbit Road,23/06/2024,04:34:45,E,S,Clear,30,19,Buss,False
Elm Avenue/Rabbit Road,23/06/2024,04:35:32,N,N,Rain,30,28,Car,False
Elm Avenue/Rabbit Road,23/06/2024,13:13:48,E,S,Sunny,30,34,Motorcycle,True
Hanley Highway/Westway,23/06/2024,21:28:32,S,S,Sunny,20,5,Van,False
Hanley Highway/Westway,23/06/2024,21:52:06,E,E,Cloudy,20,11,Car,False
Hanley Highway/Westway,23/06/2024,03:02:24,SW,SW,Clear,20,9,Van,False
Hanley Highway/Westway,23/06/2024,18:16:54,N,SE,Sunny,20,15,Car,False
Elm Avenue/Rabbit Road,23/06/2024,10:37:26,E,E,Clear,30,24,Motorcycle,False
Elm Avenue/Rabbit Road,23/06/2024,03:58:41,S,S,Clear,30,20,Car,False
Hanley Highway/Westway,23/06/2024,19:29:03,NE,NE,Rain,20,7,Truck,False
Hanley Highway/Westway,23/06/2024,13:55:02,SW,NE,Clear,20,17,Truck,False
Elm Avenue/Rabbit Road,23/06/2024,12:48:58,E,W,Overcast,30,27,Scooter,True
Elm Avenue/Rabbit Road,23/06/2024,03:39:40,S,S,Overcast,30,29,Truck,False
Hanley Highway/Westway,23/06/2024,04:53:17,N,SE,Light Rain,20,12,Van,False
Hanley Highway/Westway,23/06/2024,19:15:29,E,E,Sunny,20,20,Buss,False
Hanley Highway/Westway,23/06/2024,18:56:44,NW,W,Clear,20,12,Buss,False
Hanley Highway/Westway,23/06/2024,17:31:59,SE,E,Clear,20,15,Van,False
Hanley Highway/Westway,23/06/2024,19:19:09,SE,E,Overcast,20,7,Truck,False
Hanley Highway/Westway,23/06/2024,18:17:10,SW,W,Overcast,20,9,Van,False
Elm Avenue/Rabbit Road,23/06/2024,18:37:35,N,N,Overcast,30,21,Bicycle,False
Elm Avenue/Rabbit Road,23/06/2024,08:04:15,S,S,Overcast,30,35,Car,False
Hanley Highway/Westway,23/06/2024,04:28:18,E,E,Clear,20,19,Buss,False
Hanley Highway/Westway,23/06/2024,14:58:09,W,SE,Light Rain,20,10,Buss,False
Elm Avenue/Rabbit Road,23/06/2024,23:15:43,E,W,Sunny,30,23,Bicycle,False
Hanley Highway/Westway,23/06/2024,23:38:59,NW,E,Clear,20,6,Car,False
Elm Avenue/Rabbit Road,23/06/2024,20:18:58,N,N,Clear,30,15,Van,False
Elm Avenue/Rabbit Road,23/06/2024,23:01:29,E,E,Overcast,30,45,Car,False
Hanley Highway/Westway,23/06/2024,20:57:27,SW,S,Clear,20,20,Bicycle,False
Hanley Highway/Westway,23/06/2024,01:53:06,SE,SW,Rain,20,13,Truck,False
Hanley Highway/Westway,23/06/2024,19:41:16,NW,NW,Heavy Rain,20,40,Car,False
Elm Avenue/Rabbit Road,23/06/2024,21:28:12,S,S,Overcast,30,23,Car,True
Hanley Highway/Westway,23/06/2024,14:50:00,SE,SE,Rain,20,11,Car,False
Hanley Highway/Westway,23/06/2024,18:49:31,E,SE,Sunny,20,30,Car,False
Elm Avenue/Rabbit Road,23/06/2024,19:29:57,E,N,Light Rain,30,27,Truck,False
Hanley Highway/Westway,23/06/2024,01:21:28,S,NW,Clear,20,38,Buss,False
Elm Avenue/Rabbit Road,23/06/2024,20:32:35,W,W,Overcast,30,26,Car,True
Hanley Highway/Westway,23/06/2024,20:29:19,NE,NE,Overcast,20,8,Motorcycle,False
Hanley Highway/Westway,23/06/2024,02:25:48,SW,SW,Light Rain,20,9,Van,False
Hanley Highway/Westway,23/06/2024,21:34:32,W,NW,Overcast,20,9,Car,False
Hanley Highway/Westway,23/06/2024,15:05:48,W,W,Rain,20,11,Truck,True
Elm Avenue/Rabbit Road,23/06/2024,01:16:03,E,E,Light Rain,30,17,Car,False
Elm Avenue/Rabbit Road,23/06/2024,03:50:15,E,W,Light Rain,30,28,Car,False
Elm Avenue/Rabbit Road,23/06/2024,17:28:58,W,E,Light Rain,30,37,Truck,True
Elm Avenue/Rabbit Road,23/06/2024,05:41:47,N,N,Clear,30,26,Buss,False
Hanley Highway/Westway,23/06/2024,16:52:07,NE,SW,Rain,20,5,Car,False
Elm Avenue/Rabbit Road,23/06/2024,03:03:30,S,S,Rain,30,21,Car,True
Hanley Highway/Westway,23/06/2024,05:54:27,E,E,Sunny,20,33,Motorcycle,True
Elm Avenue/Rabbit Road,23/06/2024,22:14:04,W,N,Clear,30,23,Bicycle,False
Hanley Highway/Westway,23/06/2024,04:51:59,NW,SW,Rain,20,11,Car,False
Elm Avenue/Rabbit Road,23/06/2024,21:34:04,N,N,Clear,30,30,Bicycle,True
Elm Avenue/Rabbit Road,23/06/2024,13:45:15,W,W,Rain,30,45,Car,False
Hanley Highway/Westway,23/06/2024,13:16:59,N,N,Overcast,20,22,Motorcycle,False
Hanley Highway/Westway,23/06/2024,04:25:01,E,W,Rain,20,13,Buss,False
Hanley Highway/Westway,23/06/2024,00:18:18,NE,SW,Clear,20,6,Van,True
Hanley Highway/Westway,23/06/2024,07:31:45,NE,S,Clear,20,5,Car,False
Elm Avenue/Rabbit Road,23/06/2024,08:17:00,S,E,Light Rain,30,20,Car,True
Hanley Highway/Westway,23/06/2024,14:28:07,S,S,Overcast,20,8,Bicycle,False
Elm Avenue/Rabbit Road,23/06/2024,02:37:36,S,S,Overcast,30,17,Car,False
Hanley Highway/Westway,23/06/2024,09:47:10,NW,NW,Sunny,20,6,Truck,False
Elm Avenue/Rabbit Road,23/06/2024,19:11:26,W,W,Sunny,30,28,Car,False
Hanley Highway/Westway,23/06/2024,06:49:11,N,SE,Clear,20,14,Van,True
Hanley Highway/Westway,23/06/2024,18:37:39,S,S,Clear,20,19,Buss,False
Hanley Highway/Westway,23/06/2024,22:09:00,W,W,Clear,20,19,Bicycle,True
Hanley Highway/Westway,23/06/2024,13:04:03,E,SW,Clear,20,19,Van,False
Hanley Highway/Westway,23/06/2024,11:26:55,S,NW,Rain,20,5,Car,False
Hanley Highway/Westway,23/06/2024,21:10:25,E,E,Overcast,20,5,Car,False
Hanley Highway/Westway,23/06/2024,06:15:27,SE,NW,Overcast,20,18,Car,False
Elm Avenue/Rabbit Road,23/06/2024,16:36:52,W,W,Overcast,30,29,Truck,True
Elm Avenue/Rabbit Road,23/06/2024,01:05:30,E,W,Overcast,30,16,Car,True
Hanley Highway/Westway,23/06/2024,09:53:00,S,S,Clear,20,13,Truck,False
Elm Avenue/Rabbit Road,23/06/2024,01:50:08,W,W,Light Rain,30,18,Motorcycle,False
Hanley Highway/Westway,23/06/2024,02:46:09,SE,E,Clear,20,23,Motorcycle,False
Hanley Highway/Westway,23/06/2024,08:09:26,N,S,Overcast,20,12,Car,False
