JunctionName,Date,timeOfDay,travel_Direction_in,travel_Direction_out,Weather_Conditions,JunctionSpeedLimit,VehicleSpeed,VehicleType,elctricHybrid
Hanley Highway/Westway,27/06/2024,07:40:07,W,S,Light Rain,20,16,Motorcycle,False
Elm Avenue/Rabbit Road,27/06/2024,22:01:50,N,N,Overcast,30,17,Car,False
Hanley Highway/Westway,27/06/2024,01:28:22,S,S,Overcast,20,19,Car,True
Hanley Highway/Westway,27/06/2024,01:29:00,NW,E,Sunny,20,18,Truck,True
Elm Avenue/Rabbit Road,27/06/2024,03:19:19,S,W,Heavy Rain,30,23,Buss,False
Elm Avenue/Rabbit Road,27/06/2024,09:23:25,S,E,Overcast,30,17,Buss,False
Elm Avenue/Rabbit Road,27/06/2024,10:08:48,E,N,Clear,30,28,Truck,False
Elm Avenue/Rabbit Road,27/06/2024,22:26:23,E,W,Light Rain,30,37,Buss,False
Elm Avenue/Rabbit Road,27/06/2024,09:09:42,N,N,Overcast,30,38,Motorcycle,False
Hanley Highway/Westway,27/06/2024,21:17:30,N,N,Rain,20,22,Van,False
Elm Avenue/Rabbit Road,27/06/2024,06:38:37,N,N,Overcast,30,23,Bicycle,True
Hanley Highway/Westway,27/06/2024,02:55:09,NW,E,Sunny,20,10,Car,True
Hanley Highway/Westway,27/06/2024,22:19:41,W,E,Clear,20,17,Car,False
Elm Avenue/Rabbit Road,27/06/2024,02:47:57,S,W,Sunny,30,28,Bicycle,False
Hanley Highway/Westway,27/06/2024,21:06:53,SE,SE,Overcast,20,19,Buss,True
Elm Avenue/Rabbit Road,27/06/2024,04:49:16,E,E,Overcast,30,18,Car,False
Elm Avenue/Rabbit Road,27/06/2024,23:56:07,S,S,Rain,30,28,Car,False
Hanley Highway/Westway,27/06/2024,03:40:29,SW,S,Overcast,20,22,Bicycle,False
Elm Avenue/Rabbit Road,27/06/2024,04:19:53,S,S,Light Rain,30,20,Scooter,False
Elm Avenue/Rabbit Road,27/06/2024,18:30:10,S,S,Overcast,30,22,Scooter,False
Hanley Highway/Westway,27/06/2024,03:46:22,NW,NW,Light Rain,20,18,Motorcycle,True
Hanley Highway/Westway,27/06/2024,10:22:37,NW,W,Clear,20,27,Truck,False
Elm Avenue/Rabbit Road,27/06/2024,00:20:12,E,E,Sunny,30,18,Car,False
Elm Avenue/Rabbit Road,27/06/2024,23:02:10,W,N,Light Rain,30,29,Car,False
Elm Avenue/Rabbit Road,27/06/2024,20:08:10,W,S,Light Rain,30,21,Car,True
Hanley Highway/Westway,27/06/2024,20:34:05,SE,NW,Clear,20,15,Car,True
Hanley Highway/Westway,27/06/2024,20:14:16,S,S,Clear,20,5,Car,True
Elm Avenue/Rabbit Road,27/06/2024,11:25:54,E,E,Clear,30,23,Buss,True
Elm Avenue/Rabbit Road,27/06/2024,04:22:03,E,E,Overcast,30,29,Car,False
Hanley Highway/Westway,27/06/2024,04:11:19,S,S,Overcast,20,14,Motorcycle,False
Elm Avenue/Rabbit Road,27/06/2024,14:02:21,N,W,Light Rain,30,39,Scooter,True
Elm Avenue/Rabbit Road,27/06/2024,13:07:08,E,E,Heavy Rain,30,24,Car,False
Elm Avenue/Rabbit Road,27/06/2024,22:38:28,W,N,Overcast,30,24,Buss,False
