JunctionName,Date,timeOfDay,travel_Direction_in,travel_Direction_out,Weather_Conditions,JunctionSpeedLimit,VehicleSpeed,VehicleType,elctricHybrid
Church Road/Hill Lane,22/07/2024,00:07:47,SW,E,Rain,30,16,Motorbike,True
London Road/Station Way,22/07/2024,00:15:51,E,W,Rain,50,36,Van,False
London Road/Station Way,22/07/2024,00:18:16,S,W,Rain,50,63,Truck,False
Church Road/Hill Lane,22/07/2024,00:18:43,S,SE,Rain,30,28,Bus,False
Church Road/Hill Lane,22/07/2024,00:21:02,SW,NW,Rain,30,41,Buss,True
Church Road/Hill Lane,22/07/2024,00:23:00,S,NW,Rain,30,6,Van,True
Church Road/Hill Lane,22/07/2024,00:38:30,N,N,Rain,30,16,Motorbike,False
Church Road/Hill Lane,22/07/2024,00:40:14,W,SW,Rain,30,44,Truck,True
Church Road/Hill Lane,22/07/2024,01:01:22,NE,NW,Rain,30,15,Buss,False
London Road/Station Way,22/07/2024,01:04:19,N,N,Rain,50,55,Bus,False
London Road/Station Way,22/07/2024,01:08:43,N,E,Rain,50,6,Motorbike,False
London Road/Station Way,22/07/2024,01:09:22,E,W,Rain,50,15,Buss,False
London Road/Station Way,22/07/2024,01:12:06,N,N,Rain,50,35,Bus,False
London Road/Station Way,22/07/2024,01:27:56,N,W,Rain,50,33,Motorcycle,False
Church Road/Hill Lane,22/07/2024,01:31:55,N,NW,Rain,30,32,Buss,False
Church Road/Hill Lane,22/07/2024,01:32:06,SE,SE,Rain,30,11,Scooter,False
Church Road/Hill Lane,22/07/2024,01:42:56,SW,NE,Rain,30,10,Buss,False
Church Road/Hill Lane,22/07/2024,01:51:41,NE,NW,Rain,30,8,Bus,False
Church Road/Hill Lane,22/07/2024,01:53:23,NE,NW,Rain,30,12,Car,False
Church Road/Hill Lane,22/07/2024,02:02:34,NW,SE,Rain,30,13,Van,False
Church Road/Hill Lane,22/07/2024,02:06:35,N,N,Rain,30,26,Truck,False
London Road/Station Way,22/07/2024,02:07:09,W,W,Rain,50,49,Bus,False
London Road/Station Way,22/07/2024,02:13:46,W,W,Rain,50,56,Scooter,False
Church Road/Hill Lane,22/07/2024,02:23:43,SE,SE,Rain,30,21,Scooter,False
London Road/Station Way,22/07/2024,02:27:44,N,N,Rain,50,6,Scooter,False
London Road/Station Way,22/07/2024,02:31:43,N,S,Rain,50,29,Motorcycle,True
London Road/Station Way,22/07/2024,02:32:12,S,N,Rain,50,43,Buss,False
London Road/Station Way,22/07/2024,02:40:13,W,E,Rain,50,57,Bicycle,False
Church Road/Hill Lane,22/07/2024,02:50:30,S,E,Rain,30,37,Motorbike,False
London Road/Station Way,22/07/2024,02:52:49,W,W,Rain,50,52,Motorbike,False
Church Road/Hill Lane,22/07/2024,03:00:10,SW,SW,Rain,30,30,Scooter,False
Church Road/Hill Lane,22/07/2024,03:03:12,W,W,Rain,30,36,Van,False
Church Road/Hill Lane,22/07/2024,03:06:50,S,N,Rain,30,37,Bus,True
London Road/Station Way,22/07/2024,03:11:53,E,W,Rain,50,32,Truck,False
London Road/Station Way,22/07/2024,03:14:08,S,S,Rain,50,24,Buss,True
Church Road/Hill Lane,22/07/2024,03:20:09,SE,NW,Rain,30,21,Motorbike,False
London Road/Station Way,22/07/2024,03:20:34,W,W,Rain,50,48,Truck,False
Church Road/Hill Lane,22/07/2024,03:21:59,W,NE,Rain,30,34,Truck,False
London Road/Station Way,22/07/2024,03:23:32,N,E,Rain,50,15,Car,True
Church Road/Hill Lane,22/07/2024,03:28:19,N,SW,Rain,30,26,Truck,False
Church Road/Hill Lane,22/07/2024,03:35:14,SW,NE,Rain,30,26,Motorcycle,False
London Road/Station Way,22/07/2024,03:36:43,W,W,Rain,50,35,Van,False
Church Road/Hill Lane,22/07/2024,03:42:59,E,N,Rain,30,22,Truck,True
London Road/Station Way,22/07/2024,03:49:51,E,E,Rain,50,58,Motorbike,False
Church Road/Hill Lane,22/07/2024,03:53:08,NE,SE,Rain,30,18,Van,False
Church Road/Hill Lane,22/07/2024,03:54:12,SW,SE,Rain,30,5,Truck,False
