JunctionName,Date,timeOfDay,travel_Direction_in,travel_Direction_out,Weather_Conditions,JunctionSpeedLimit,VehicleSpeed,VehicleType,elctricHybrid
Elm Avenue/Rabbit Road,25/06/2024,14:11:55,S,W,Sunny,30,30,Car,False
Hanley Highway/Westway,25/06/2024,23:02:00,W,N,Sunny,20,17,Bicycle,True
Hanley Highway/Westway,25/06/2024,21:12:23,W,E,Overcast,20,9,Van,False
Hanley Highway/Westway,25/06/2024,06:58:54,SW,SW,Clear,20,27,Car,False
Hanley Highway/Westway,25/06/2024,18:15:19,NE,NE,Light Rain,20,20,Car,False
Hanley Highway/Westway,25/06/2024,00:43:36,SW,W,Clear,20,16,Car,True
Hanley Highway/Westway,25/06/2024,01:43:18,N,S,Sunny,20,12,Truck,False
Elm Avenue/Rabbit Road,25/06/2024,08:51:31,W,W,Clear,30,28,Car,False
Hanley Highway/Westway,25/06/2024,14:35:35,N,NW,Overcast,20,20,Buss,False
Hanley Highway/Westway,25/06/2024,21:34:24,SE,N,Clear,20,14,Car,False
Elm Avenue/Rabbit Road,25/06/2024,19:29:29,E,E,Sunny,30,15,Buss,True
Elm Avenue/Rabbit Road,25/06/2024,08:00:35,S,S,Cloudy,30,22,Bicycle,True
Hanley Highway/Westway,25/06/2024,02:30:33,N,N,Clear,20,5,Car,False
Hanley Highway/Westway,25/06/2024,07:27:18,S,N,Clear,20,7,Bicycle,False
Elm Avenue/Rabbit Road,25/06/2024,10:33:41,E,E,Overcast,30,30,Car,False
Hanley Highway/Westway,25/06/2024,18:54:38,NE,NE,Overcast,20,16,Car,True
Elm Avenue/Rabbit Road,25/06/2024,14:53:24,W,S,Overcast,30,20,Bicycle,False
Elm Avenue/Rabbit Road,25/06/2024,12:28:15,N,E,Rain,30,20,Car,False
Elm Avenue/Rabbit Road,25/06/2024,20:48:54,E,N,Clear,30,19,Car,False
Elm Avenue/Rabbit Road,25/06/2024,18:41:09,S,E,Overcast,30,21,Car,False
Hanley Highway/Westway,25/06/2024,06:24:04,NW,E,Clear,20,6,Motorcycle,False
Elm Avenue/Rabbit Road,25/06/2024,21:37:38,E,W,Sunny,30,21,Car,False
Elm Avenue/Rabbit Road,25/06/2024,20:35:03,W,W,Clear,30,26,Scooter,False
Hanley Highway/Westway,25/06/2024,04:15:55,N,SE,Clear,20,20,Buss,False
Elm Avenue/Rabbit Road,25/06/2024,05:03:41,E,E,Light Rain,30,23,Bicycle,False
Elm Avenue/Rabbit Road,25/06/2024,05:02:12,W,S,Overcast,30,17,Car,False
Elm Avenue/Rabbit Road,25/06/2024,12:10:30,W,S,Light Rain,30,19,Car,False
Elm Avenue/Rabbit Road,25/06/2024,23:17:47,E,E,Overcast,30,24,Truck,False
Hanley Highway/Westway,25/06/2024,23:10:53,SW,SW,Overcast,20,13,Car,False
Elm Avenue/Rabbit Road,25/06/2024,08:20:11,E,E,Sunny,30,50,Buss,False
Elm Avenue/Rabbit Road,25/06/2024,04:11:31,E,N,Overcast,30,17,Car,False
Hanley Highway/Westway,25/06/2024,12:14:03,N,N,Light Rain,20,9,Truck,False
Hanley Highway/Westway,25/06/2024,06:41:15,E,E,Clear,20,16,Car,False
Hanley Highway/Westway,25/06/2024,00:47:04,E,E,Rain,20,10,Bicycle,False
Elm Avenue/Rabbit Road,25/06/2024,01:41:55,E,W,Clear,30,18,Van,False
Hanley Highway/Westway,25/06/2024,10:43:16,W,W,Overcast,20,13,Van,False
Hanley Highway/Westway,25/06/2024,00:33:59,SE,SE,Overcast,20,17,Car,False
Elm Avenue/Rabbit Road,25/06/2024,05:59:11,W,W,Clear,30,29,Scooter,False
Hanley Highway/Westway,25/06/2024,14:09:16,SW,S,Clear,20,15,Motorcycle,False
Hanley Highway/Westway,25/06/2024,10:36:24,S,S,Light Rain,20,20,Car,False
Hanley Highway/Westway,25/06/2024,21:06:18,S,NE,Sunny,20,19,Car,False
Elm Avenue/Rabbit Road,25/06/2024,09:43:07,E,N,Rain,30,25,Motorcycle,True
Elm Avenue/Rabbit Road,25/06/2024,09:34:22,N,N,Light Rain,30,27,Truck,False
Hanley Highway/Westway,25/06/2024,15:16:33,SW,SW,Rain,20,12,Van,False
Hanley Highway/Westway,25/06/2024,05:18:43,W,W,Light Rain,20,17,Car,False
Hanley Highway/Westway,25/06/2024,01:54:47,N,NE,Clear,20,15,Truck,True
Hanley Highway/Westway,25/06/2024,08:58:02,N,W,Overcast,20,10,Bicycle,False
Elm Avenue/Rabbit Road,25/06/2024,02:51:09,E,E,Clear,30,48,Car,False
Hanley Highway/Westway,25/06/2024,20:18:51,NE,NE,Overcast,20,20,Motorcycle,False
Elm Avenue/Rabbit Road,25/06/2024,21:56:26,E,E,Overcast,30,16,Car,False
Hanley Highway/Westway,25/06/2024,21:14:51,SW,SW,Overcast,20,19,Car,False
Elm Avenue/Rabbit Road,25/06/2024,03:17:25,S,N,Overcast,30,28,Scooter,False
Elm Avenue/Rabbit Road,25/06/2024,10:46:15,E,W,Clear,30,24,Truck,False
Elm Avenue/Rabbit Road,25/06/2024,14:12:34,E,E,Clear,30,17,Car,False
Elm Avenue/Rabbit Road,25/06/2024,01:53:07,S,S,Overcast,30,30,Van,True
Hanley Highway/Westway,25/06/2024,14:38:43,E,E,Rain,20,8,Buss,True
Hanley Highway/Westway,25/06/2024,04:33:51,E,SW,Overcast,20,9,Car,False
Elm Avenue/Rabbit Road,25/06/2024,02:53:02,N,N,Overcast,30,20,Car,True
Elm Avenue/Rabbit Road,25/06/2024,12:25:07,S,S,Cloudy,30,24,Scooter,False
Hanley Highway/Westway,25/06/2024,09:43:03,SE,NE,Sunny,20,30,Car,False
Elm Avenue/Rabbit Road,25/06/2024,09:55:41,N,S,Overcast,30,21,Van,False
Elm Avenue/Rabbit Road,25/06/2024,16:40:39,E,E,Overcast,30,25,Buss,False
Elm Avenue/Rabbit Road,25/06/2024,00:07:17,W,N,Overcast,30,19,Bicycle,False
Elm Avenue/Rabbit Road,25/06/2024,12:30:04,W,N,Clear,30,18,Car,False
Elm Avenue/Rabbit Road,25/06/2024,19:59:17,W,N,Sunny,30,26,Truck,False
Hanley Highway/Westway,25/06/2024,16:32:32,NE,NE,Clear,20,13,Buss,False
Hanley Highway/Westway,25/06/2024,21:00:41,S,W,Heavy Rain,20,30,Truck,False
Elm Avenue/Rabbit Road,25/06/2024,10:51:13,N,W,Overcast,30,19,Scooter,False
Elm Avenue/Rabbit Road,25/06/2024,07:50:34,N,N,Heavy Rain,30,18,Car,False
Elm Avenue/Rabbit Road,25/06/2024,13:52:22,S,S,Rain,30,15,Van,False
Hanley Highway/Westway,25/06/2024,15:23:31,SW,SW,Overcast,20,7,Car,False
Elm Avenue/Rabbit Road,25/06/2024,02:07:56,W,N,Light Rain,30,28,Car,True
Elm Avenue/Rabbit Road,25/06/2024,10:24:49,E,E,Clear,30,18,Van,False
Hanley Highway/Westway,25/06/2024,05:13:16,NW,SW,Heavy Rain,20,7,Scooter,False
