JunctionName,Date,timeOfDay,travel_Direction_in,travel_Direction_out,Weather_Conditions,JunctionSpeedLimit,VehicleSpeed,VehicleType,elctricHybrid
Park Lane/Garden Way,12/08/2024,00:07:03,NW,SW,Light Rain,20,16,Buss,False
Park Lane/Garden Way,12/08/2024,00:07:33,NE,N,Light Rain,20,14,Buss,False
High Street/Market Road,12/08/2024,00:08:33,E,E,Light Rain,30,35,Car,True
Park Lane/Garden Way,12/08/2024,00:12:42,NW,SE,Light Rain,20,19,Truck,False
High Street/Market Road,12/08/2024,00:13:36,E,N,Light Rain,30,45,Motorcycle,True
High Street/Market Road,12/08/2024,00:17:46,NW,N,Light Rain,30,14,Truck,True
High Street/Market Road,12/08/2024,00:31:13,NE,SE,Light Rain,30,45,Motorcycle,False
Park Lane/Garden Way,12/08/2024,00:31:42,NW,NW,Light Rain,20,7,Motorcycle,True
Park Lane/Garden Way,12/08/2024,00:37:44,NW,SW,Light Rain,20,23,Buss,False
High Street/Market Road,12/08/2024,00:40:44,SE,N,Light Rain,30,33,Buss,False
High Street/Market Road,12/08/2024,00:56:38,N,N,Light Rain,30,28,Bus,True
Park Lane/Garden Way,12/08/2024,00:58:40,NE,NE,Light Rain,20,22,Motorcycle,False
Park Lane/Garden Way,12/08/2024,01:12:37,N,W,Light Rain,20,12,Scooter,True
High Street/Market Road,12/08/2024,01:21:54,S,NW,Light Rain,30,27,Truck,False
High Street/Market Road,12/08/2024,01:24:53,NE,S,Light Rain,30,45,Scooter,False
High Street/Market Road,12/08/2024,01:25:24,E,NE,Light Rain,30,37,Bus,True
Park Lane/Garden Way,12/08/2024,01:31:20,NW,N,Light Rain,20,13,Scooter,False
Park Lane/Garden Way,12/08/2024,01:42:04,NE,NE,Light Rain,20,28,Scooter,True
High Street/Market Road,12/08/2024,01:43:06,S,S,Light Rain,30,6,Car,False
Park Lane/Garden Way,12/08/2024,01:46:45,E,SW,Light Rain,20,7,Bus,True
High Street/Market Road,12/08/2024,01:47:55,E,SE,Light Rain,30,7,Van,False
High Street/Market Road,12/08/2024,01:49:42,SE,SW,Light Rain,30,20,Bicycle,False
