JunctionName,Date,timeOfDay,travel_Direction_in,travel_Direction_out,Weather_Conditions,JunctionSpeedLimit,VehicleSpeed,VehicleType,elctricHybrid
Elm Avenue/Rabbit Road,29/06/2024,19:40:20,E,E,Overcast,30,19,Truck,False
Elm Avenue/Rabbit Road,29/06/2024,03:23:35,W,E,Light Rain,30,15,Car,False
Hanley Highway/Westway,29/06/2024,00:28:44,SE,NE,Clear,20,14,Bicycle,True
Hanley Highway/Westway,29/06/2024,21:15:10,SE,SW,Clear,20,9,Car,False
Hanley Highway/Westway,29/06/2024,15:14:16,N,N,Light Rain,20,12,Car,False
Hanley Highway/Westway,29/06/2024,01:22:28,SE,N,Overcast,20,11,Buss,False
Hanley Highway/Westway,29/06/2024,08:05:13,SE,SE,Cloudy,20,15,Truck,False
Hanley Highway/Westway,29/06/2024,15:28:56,NE,S,Overcast,20,18,Truck,True
Elm Avenue/Rabbit Road,29/06/2024,21:09:29,W,E,Clear,30,15,Motorcycle,True
Elm Avenue/Rabbit Road,29/06/2024,21:45:00,S,S,Light Rain,30,29,Bicycle,True
Hanley Highway/Westway,29/06/2024,04:45:33,SE,SW,Rain,20,6,Motorcycle,False
Elm Avenue/Rabbit Road,29/06/2024,06:53:55,N,N,Light Rain,30,31,Bicycle,False
Hanley Highway/Westway,29/06/2024,11:15:32,NW,NW,Light Rain,20,18,Car,False
Hanley Highway/Westway,29/06/2024,13:15:11,SE,W,Light Rain,20,28,Car,False
Elm Avenue/Rabbit Road,29/06/2024,07:37:34,E,E,Rain,30,23,Car,False
Hanley Highway/Westway,29/06/2024,00:37:57,SW,W,Rain,20,11,Car,True
Elm Avenue/Rabbit Road,29/06/2024,06:51:04,N,N,Sunny,30,28,Scooter,False
Hanley Highway/Westway,29/06/2024,23:13:20,SE,SE,Rain,20,20,Motorcycle,False
Elm Avenue/Rabbit Road,29/06/2024,00:41:10,E,N,Sunny,30,19,Scooter,False
Elm Avenue/Rabbit Road,29/06/2024,17:49:48,E,S,Clear,30,23,Car,False
Hanley Highway/Westway,29/06/2024,02:01:03,W,SE,Overcast,20,8,Buss,False
Elm Avenue/Rabbit Road,29/06/2024,19:02:08,N,W,Light Rain,30,21,Van,False
Elm Avenue/Rabbit Road,29/06/2024,21:46:44,W,N,Overcast,30,16,Bicycle,False
Elm Avenue/Rabbit Road,29/06/2024,04:54:29,W,W,Overcast,30,40,Car,False
Hanley Highway/Westway,29/06/2024,20:37:27,W,W,Overcast,20,40,Car,False
Hanley Highway/Westway,29/06/2024,13:51:48,SW,SE,Clear,20,19,Car,False
Hanley Highway/Westway,29/06/2024,16:54:48,E,W,Rain,20,12,Car,False
Elm Avenue/Rabbit Road,29/06/2024,15:25:37,W,W,Rain,30,23,Van,False
Elm Avenue/Rabbit Road,29/06/2024,10:20:56,N,E,Overcast,30,17,Car,False
Elm Avenue/Rabbit Road,29/06/2024,20:04:03,N,W,Rain,30,26,Buss,False
Elm Avenue/Rabbit Road,29/06/2024,09:24:54,E,W,Clear,30,30,Motorcycle,False
Hanley Highway/Westway,29/06/2024,21:56:34,NE,NE,Light Rain,20,6,Truck,False
Elm Avenue/Rabbit Road,29/06/2024,11:45:34,S,W,Overcast,30,25,Scooter,False
Elm Avenue/Rabbit Road,29/06/2024,04:37:22,S,S,Rain,30,28,Car,False
Hanley Highway/Westway,29/06/2024,21:19:23,E,NW,Light Rain,20,13,Buss,False
Hanley Highway/Westway,29/06/2024,17:43:55,SE,SE,Heavy Rain,20,17,Car,False
Hanley Highway/Westway,29/06/2024,10:54:09,E,E,Overcast,20,25,Car,False
Hanley Highway/Westway,29/06/2024,20:08:41,SE,SE,Sunny,20,8,Car,False
Elm Avenue/Rabbit Road,29/06/2024,14:00:55,E,W,Clear,30,16,Buss,False
Elm Avenue/Rabbit Road,29/06/2024,05:07:41,N,N,Overcast,30,20,Car,False
Hanley Highway/Westway,29/06/2024,01:51:00,S,S,Clear,20,26,Bicycle,False
Elm Avenue/Rabbit Road,29/06/2024,21:54:04,S,N,Overcast,30,29,Car,False
Hanley Highway/Westway,29/06/2024,17:28:42,SE,N,Sunny,20,31,Truck,False
Hanley Highway/Westway,29/06/2024,15:01:34,N,NE,Overcast,20,9,Motorcycle,False
Hanley Highway/Westway,29/06/2024,10:04:40,SW,W,Overcast,20,5,Bicycle,True
Hanley Highway/Westway,29/06/2024,09:53:48,E,E,Overcast,20,25,Car,True
Elm Avenue/Rabbit Road,29/06/2024,22:47:22,E,S,Overcast,30,35,Buss,False
Hanley Highway/Westway,29/06/2024,09:03:27,NW,NE,Clear,20,24,Buss,False
Hanley Highway/Westway,29/06/2024,15:57:29,NE,NW,Overcast,20,19,Car,False
Hanley Highway/Westway,29/06/2024,14:00:57,E,S,Overcast,20,7,Motorcycle,False
Elm Avenue/Rabbit Road,29/06/2024,12:28:36,S,S,Overcast,30,15,Buss,False
Elm Avenue/Rabbit Road,29/06/2024,21:04:00,S,S,Light Rain,30,16,Buss,False
Elm Avenue/Rabbit Road,29/06/2024,01:21:36,E,E,Sunny,30,21,Buss,False
Elm Avenue/Rabbit Road,29/06/2024,06:47:16,S,W,Overcast,30,27,Scooter,True
Hanley Highway/Westway,29/06/2024,08:17:01,W,W,Overcast,20,16,Car,True
Elm Avenue/Rabbit Road,29/06/2024,03:23:46,W,W,Overcast,30,25,Truck,False
Hanley Highway/Westway,29/06/2024,20:37:43,E,SE,Sunny,20,29,Car,False
Hanley Highway/Westway,29/06/2024,06:13:56,S,E,Heavy Rain,20,19,Car,False
Elm Avenue/Rabbit Road,29/06/2024,09:41:11,N,N,Heavy Rain,30,31,Buss,False
Hanley Highway/Westway,29/06/2024,05:25:17,N,SE,Overcast,20,11,Scooter,True
Elm Avenue/Rabbit Road,29/06/2024,23:13:55,E,S,Sunny,30,19,Buss,False
Hanley Highway/Westway,29/06/2024,09:10:31,E,E,Rain,20,15,Truck,False
Hanley Highway/Westway,29/06/2024,01:51:00,SE,SE,Clear,20,18,Car,False
Elm Avenue/Rabbit Road,29/06/2024,22:44:11,N,N,Clear,30,17,Truck,True
Elm Avenue/Rabbit Road,29/06/2024,15:52:00,E,N,Clear,30,18,Motorcycle,False
Elm Avenue/Rabbit Road,29/06/2024,02:50:56,N,E,Heavy Rain,30,44,Motorcycle,True
Hanley Highway/Westway,29/06/2024,19:35:51,NE,SW,Overcast,20,20,Buss,True
Hanley Highway/Westway,29/06/2024,18:14:03,NW,NW,Overcast,20,14,Car,False
Elm Avenue/Rabbit Road,29/06/2024,04:32:20,E,E,Light Rain,30,46,Buss,False
Elm Avenue/Rabbit Road,29/06/2024,19:32:43,S,S,Overcast,30,25,Car,True
Elm Avenue/Rabbit Road,29/06/2024,23:05:55,E,N,Sunny,30,19,Buss,False
Elm Avenue/Rabbit Road,29/06/2024,12:23:25,N,S,Heavy Rain,30,26,Buss,False
Elm Avenue/Rabbit Road,29/06/2024,05:26:05,S,S,Rain,30,16,Car,False
Hanley Highway/Westway,29/06/2024,14:13:54,W,W,Light Rain,20,12,Car,False
Elm Avenue/Rabbit Road,29/06/2024,22:37:51,E,E,Overcast,30,26,Van,False
Elm Avenue/Rabbit Road,29/06/2024,21:22:41,S,S,Overcast,30,26,Car,True
Elm Avenue/Rabbit Road,29/06/2024,23:33:46,N,N,Clear,30,16,Car,True
Elm Avenue/Rabbit Road,29/06/2024,07:21:19,W,W,Cloudy,30,21,Car,False
Hanley Highway/Westway,29/06/2024,19:21:51,S,S,Rain,20,23,Scooter,False
Hanley Highway/Westway,29/06/2024,00:31:13,S,N,Overcast,20,17,Buss,False
Elm Avenue/Rabbit Road,29/06/2024,10:04:29,N,W,Overcast,30,25,Car,False
Hanley Highway/Westway,29/06/2024,11:16:27,S,S,Sunny,20,18,Buss,False
Elm Avenue/Rabbit Road,29/06/2024,22:57:44,S,N,Light Rain,30,22,Truck,False
Hanley Highway/Westway,29/06/2024,11:33:51,NW,SE,Heavy Rain,20,20,Scooter,True
Elm Avenue/Rabbit Road,29/06/2024,12:49:37,N,N,Clear,30,24,Car,False
Elm Avenue/Rabbit Road,29/06/2024,09:03:35,S,W,Cloudy,30,17,Buss,False
Hanley Highway/Westway,29/06/2024,11:10:51,NE,N,Rain,20,25,Car,False
Hanley Highway/Westway,29/06/2024,17:05:09,NE,NE,Clear,20,13,Truck,True
Hanley Highway/Westway,29/06/2024,03:37:16,NW,W,Overcast,20,16,Buss,False
Hanley Highway/Westway,29/06/2024,21:19:28,N,NW,Clear,20,13,Buss,False
Elm Avenue/Rabbit Road,29/06/2024,22:53:38,N,W,Light Rain,30,24,Car,False
Hanley Highway/Westway,29/06/2024,08:03:11,N,S,Clear,20,22,Car,False
Elm Avenue/Rabbit Road,29/06/2024,05:39:29,S,E,Overcast,30,21,Car,True
Elm Avenue/Rabbit Road,29/06/2024,13:06:49,S,S,Overcast,30,44,Van,False
Elm Avenue/Rabbit Road,29/06/2024,12:10:53,S,E,Overcast,30,19,Car,True
Hanley Highway/Westway,29/06/2024,01:55:17,SW,N,Light Rain,20,8,Motorcycle,False
Elm Avenue/Rabbit Road,29/06/2024,13:22:01,S,S,Overcast,30,22,Car,False
Hanley Highway/Westway,29/06/2024,13:02:04,S,S,Overcast,20,10,Motorcycle,False
Elm Avenue/Rabbit Road,29/06/2024,03:47:14,N,N,Clear,30,21,Truck,False
Elm Avenue/Rabbit Road,29/06/2024,15:20:25,N,N,Clear,30,24,Car,False
Hanley Highway/Westway,29/06/2024,09:15:55,NW,NW,Sunny,20,15,Van,False
Elm Avenue/Rabbit Road,29/06/2024,19:38:41,S,S,Overcast,30,22,Car,False
Hanley Highway/Westway,29/06/2024,23:57:17,NE,W,Light Rain,20,37,Car,False
Elm Avenue/Rabbit Road,29/06/2024,15:25:03,W,W,Clear,30,16,Car,True
Elm Avenue/Rabbit Road,29/06/2024,07:09:01,E,E,Sunny,30,29,Buss,True
Hanley Highway/Westway,29/06/2024,00:00:15,SW,SW,Light Rain,20,15,Bicycle,False
Elm Avenue/Rabbit Road,29/06/2024,19:39:42,N,N,Light Rain,30,30,Truck,False
Elm Avenue/Rabbit Road,29/06/2024,08:53:46,S,W,Clear,30,26,Buss,False
Elm Avenue/Rabbit Road,29/06/2024,12:04:58,E,S,Clear,30,16,Buss,False
Hanley Highway/Westway,29/06/2024,03:43:51,E,SE,Clear,20,12,Car,True
Hanley Highway/Westway,29/06/2024,08:11:54,NW,NW,Rain,20,19,Car,False
Hanley Highway/Westway,29/06/2024,16:02:54,NW,N,Cloudy,20,15,Car,False
Hanley Highway/Westway,29/06/2024,02:33:13,S,S,Sunny,20,7,Buss,False
Hanley Highway/Westway,29/06/2024,17:14:58,W,W,Overcast,20,14,Bicycle,False
Elm Avenue/Rabbit Road,29/06/2024,01:30:38,N,N,Sunny,30,20,Scooter,True
Hanley Highway/Westway,29/06/2024,13:47:40,E,E,Light Rain,20,14,Car,False
Hanley Highway/Westway,29/06/2024,04:14:50,N,N,Sunny,20,8,Car,True
Elm Avenue/Rabbit Road,29/06/2024,03:07:21,W,W,Clear,30,31,Truck,False
Hanley Highway/Westway,29/06/2024,12:21:43,N,SW,Overcast,20,9,Car,False
Elm Avenue/Rabbit Road,29/06/2024,15:58:41,E,S,Sunny,30,18,Car,False
Hanley Highway/Westway,29/06/2024,00:16:46,SE,NE,Rain,20,13,Car,True
Elm Avenue/Rabbit Road,29/06/2024,19:54:07,E,E,Sunny,30,29,Car,False
Hanley Highway/Westway,29/06/2024,16:47:40,E,S,Overcast,20,6,Buss,False
Hanley Highway/Westway,29/06/2024,04:12:17,W,W,Clear,20,16,Buss,False
Elm Avenue/Rabbit Road,29/06/2024,20:20:09,S,E,Clear,30,17,Buss,False
Hanley Highway/Westway,29/06/2024,15:37:40,E,E,Cloudy,20,9,Buss,False
Elm Avenue/Rabbit Road,29/06/2024,11:09:53,S,W,Overcast,30,24,Van,False
Elm Avenue/Rabbit Road,29/06/2024,16:42:32,N,W,Heavy Rain,30,30,Buss,False
Hanley Highway/Westway,29/06/2024,11:21:58,SE,SE,Heavy Rain,20,16,Car,False
Elm Avenue/Rabbit Road,29/06/2024,04:28:38,E,E,Overcast,30,22,Van,False
Hanley Highway/Westway,29/06/2024,01:06:36,SW,SW,Overcast,20,15,Car,False
Hanley Highway/Westway,29/06/2024,16:26:50,NW,E,Cloudy,20,14,Car,False
Elm Avenue/Rabbit Road,29/06/2024,10:02:02,N,N,Clear,30,25,Buss,False
Elm Avenue/Rabbit Road,29/06/2024,19:19:48,N,N,Overcast,30,19,Motorcycle,True
Elm Avenue/Rabbit Road,29/06/2024,06:58:50,S,N,Clear,30,29,Motorcycle,False
Elm Avenue/Rabbit Road,29/06/2024,21:03:29,E,E,Clear,30,40,Car,False
Hanley Highway/Westway,29/06/2024,10:24:05,N,E,Sunny,20,11,Van,False
Hanley Highway/Westway,29/06/2024,08:30:41,N,SE,Overcast,20,10,Motorcycle,False
Elm Avenue/Rabbit Road,29/06/2024,11:55:14,N,N,Overcast,30,16,Van,True
Hanley Highway/Westway,29/06/2024,01:11:35,NE,W,Sunny,20,17,Bicycle,False
Elm Avenue/Rabbit Road,29/06/2024,16:49:22,E,W,Light Rain,30,21,Car,False
Elm Avenue/Rabbit Road,29/06/2024,22:57:41,W,W,Overcast,30,17,Van,True
Hanley Highway/Westway,29/06/2024,19:05:19,S,S,Clear,20,19,Bicycle,False
Hanley Highway/Westway,29/06/2024,10:36:53,S,S,Overcast,20,19,Truck,False
Hanley Highway/Westway,29/06/2024,06:38:53,N,N,Clear,20,9,Bicycle,False
Elm Avenue/Rabbit Road,29/06/2024,01:49:14,S,S,Light Rain,30,19,Van,False
