JunctionName,Date,timeOfDay,travel_Direction_in,travel_Direction_out,Weather_Conditions,JunctionSpeedLimit,VehicleSpeed,VehicleType,elctricHybrid
Hanley Highway/Westway,24/06/2024,05:47:17,SE,W,Overcast,20,10,Buss,False
Elm Avenue/Rabbit Road,24/06/2024,01:20:38,N,E,Cloudy,30,16,Car,False
Hanley Highway/Westway,24/06/2024,14:18:19,NE,W,Sunny,20,5,Bicycle,False
Hanley Highway/Westway,24/06/2024,13:22:30,W,N,Overcast,20,8,Car,False
Elm Avenue/Rabbit Road,24/06/2024,19:23:40,S,W,Sunny,30,15,Motorcycle,False
Hanley Highway/Westway,24/06/2024,09:50:09,E,NE,Cloudy,20,20,Buss,True
Elm Avenue/Rabbit Road,24/06/2024,13:01:28,W,W,Heavy Rain,30,21,Car,False
Elm Avenue/Rabbit Road,24/06/2024,08:01:39,E,W,Light Rain,30,20,Truck,False
Hanley Highway/Westway,24/06/2024,16:50:30,SE,SE,Clear,20,29,Bicycle,False
Elm Avenue/Rabbit Road,24/06/2024,23:52:30,W,W,Light Rain,30,26,Buss,False
Elm Avenue/Rabbit Road,24/06/2024,18:40:13,N,N,Rain,30,18,Van,False
Elm Avenue/Rabbit Road,24/06/2024,03:42:23,W,S,Overcast,30,24,Buss,False
Hanley Highway/Westway,24/06/2024,10:02:37,NE,NE,Overcast,20,7,Van,False
Hanley Highway/Westway,24/06/2024,16:09:56,S,S,Sunny,20,15,Van,False
Hanley Highway/Westway,24/06/2024,11:08:27,S,E,Light Rain,20,21,Motorcycle,False
Hanley Highway/Westway,24/06/2024,04:52:18,NE,E,Light Rain,20,14,Car,False
Elm Avenue/Rabbit Road,24/06/2024,05:26:13,W,S,Clear,30,35,Motorcycle,False
Elm Avenue/Rabbit Road,24/06/2024,02:59:04,W,E,Heavy Rain,30,16,Car,False
Hanley Highway/Westway,24/06/2024,11:44:13,SE,SE,Light Rain,20,12,Bicycle,True
Elm Avenue/Rabbit Road,24/06/2024,00:34:47,W,N,Overcast,30,38,Car,False
Hanley Highway/Westway,24/06/2024,20:28:35,E,NE,Overcast,20,16,Car,False
Hanley Highway/Westway,24/06/2024,09:43:55,SW,SW,Overcast,20,33,Van,False
Elm Avenue/Rabbit Road,24/06/2024,02:09:11,E,S,Clear,30,25,Car,False
Hanley Highway/Westway,24/06/2024,14:34:32,SW,SW,Clear,20,13,Truck,False
Elm Avenue/Rabbit Road,24/06/2024,22:14:27,E,E,Heavy Rain,30,20,Car,True
Hanley Highway/Westway,24/06/2024,17:37:00,E,N,Heavy Rain,20,10,Buss,False
Elm Avenue/Rabbit Road,24/06/2024,08:00:29,N,E,Rain,30,23,Car,False
Elm Avenue/Rabbit Road,24/06/2024,21:01:16,W,E,Clear,30,18,Bicycle,True
Elm Avenue/Rabbit Road,24/06/2024,20:13:14,W,N,Clear,30,25,Motorcycle,True
Hanley Highway/Westway,24/06/2024,17:37:40,NW,NW,Rain,20,14,Buss,False
Elm Avenue/Rabbit Road,24/06/2024,20:05:51,N,N,Overcast,30,37,Buss,False
Hanley Highway/Westway,24/06/2024,14:11:50,NW,E,Clear,20,15,Bicycle,False
Elm Avenue/Rabbit Road,24/06/2024,11:37:20,W,S,Rain,30,28,Bicycle,False
Elm Avenue/Rabbit Road,24/06/2024,21:18:16,E,E,Rain,30,17,Buss,False
Hanley Highway/Westway,24/06/2024,00:29:05,N,N,Clear,20,8,Buss,False
Hanley Highway/Westway,24/06/2024,12:30:14,S,S,Cloudy,20,9,Buss,False
Hanley Highway/Westway,24/06/2024,11:47:46,SW,SW,Overcast,20,17,Car,False
Elm Avenue/Rabbit Road,24/06/2024,20:21:35,W,S,Sunny,30,20,Car,False
Hanley Highway/Westway,24/06/2024,01:04:35,NE,S,Heavy Rain,20,11,Car,True
Elm Avenue/Rabbit Road,24/06/2024,12:17:28,E,E,Rain,30,21,Buss,False
Elm Avenue/Rabbit Road,24/06/2024,07:37:41,S,S,Light Rain,30,25,Bicycle,False
Hanley Highway/Westway,24/06/2024,11:31:01,S,N,Rain,20,5,Car,False
Elm Avenue/Rabbit Road,24/06/2024,01:39:03,N,E,Light Rain,30,18,Motorcycle,False
Elm Avenue/Rabbit Road,24/06/2024,21:49:34,W,W,Overcast,30,27,Car,True
Hanley Highway/Westway,24/06/2024,20:08:58,SW,NE,Heavy Rain,20,15,Van,False
Elm Avenue/Rabbit Road,24/06/2024,19:33:06,S,N,Clear,30,19,Car,False
Elm Avenue/Rabbit Road,24/06/2024,13:43:01,S,N,Light Rain,30,22,Car,False
Elm Avenue/Rabbit Road,24/06/2024,04:05:17,N,N,Overcast,30,25,Car,False
Hanley Highway/Westway,24/06/2024,12:48:14,NW,NW,Light Rain,20,15,Car,False
Elm Avenue/Rabbit Road,24/06/2024,20:47:48,W,W,Sunny,30,23,Car,True
Elm Avenue/Rabbit Road,24/06/2024,13:52:37,S,E,Light Rain,30,29,Car,False
Elm Avenue/Rabbit Road,24/06/2024,04:28:04,N,S,Rain,30,24,Truck,False
Hanley Highway/Westway,24/06/2024,17:57:46,SE,NE,Overcast,20,20,Buss,True
Hanley Highway/Westway,24/06/2024,13:21:17,S,N,Sunny,20,32,Buss,False
Elm Avenue/Rabbit Road,24/06/2024,07:43:06,N,N,Overcast,30,30,Motorcycle,False
Elm Avenue/Rabbit Road,24/06/2024,10:29:59,W,S,Light Rain,30,18,Car,False
Elm Avenue/Rabbit Road,24/06/2024,00:23:36,W,W,Light Rain,30,45,Truck,True
Elm Avenue/Rabbit Road,24/06/2024,14:18:30,N,N,Overcast,30,16,Car,False
Hanley Highway/Westway,24/06/2024,22:39:37,SW,W,Overcast,20,14,Scooter,True
Elm Avenue/Rabbit Road,24/06/2024,01:50:26,E,N,Clear,30,17,Bicycle,False
Hanley Highway/Westway,24/06/2024,16:55:06,NW,NW,Clear,20,9,Scooter,False
Hanley Highway/Westway,24/06/2024,05:44:29,S,S,Overcast,20,24,Truck,False
Elm Avenue/Rabbit Road,24/06/2024,19:08:51,W,S,Light Rain,30,15,Van,False
Hanley Highway/Westway,24/06/2024,15:01:17,SW,NW,Rain,20,17,Truck,False
Hanley Highway/Westway,24/06/2024,09:01:24,SE,SE,Clear,20,16,Truck,False
Elm Avenue/Rabbit Road,24/06/2024,15:43:41,N,N,Clear,30,22,Buss,True
