JunctionName,Date,timeOfDay,travel_Direction_in,travel_Direction_out,Weather_Conditions,JunctionSpeedLimit,VehicleSpeed,VehicleType,elctricHybrid
Hanley Highway/Westway,28/06/2024,01:51:14,E,SE,Overcast,20,17,Buss,False
Hanley Highway/Westway,28/06/2024,08:34:47,W,W,Rain,20,9,Car,True
Elm Avenue/Rabbit Road,28/06/2024,14:54:13,W,N,Rain,30,28,Van,False
Hanley Highway/Westway,28/06/2024,18:10:53,S,W,Sunny,20,20,Scooter,False
Hanley Highway/Westway,28/06/2024,03:27:11,NE,NE,Overcast,20,10,Buss,True
Hanley Highway/Westway,28/06/2024,22:35:48,NE,S,Sunny,20,12,Car,False
Hanley Highway/Westway,28/06/2024,19:01:24,SE,SE,Clear,20,20,Buss,False
Hanley Highway/Westway,28/06/2024,03:55:27,SE,SE,Sunny,20,11,Van,False
Elm Avenue/Rabbit Road,28/06/2024,17:15:13,W,S,Rain,30,24,Buss,False
Elm Avenue/Rabbit Road,28/06/2024,09:14:50,S,S,Overcast,30,21,Car,False
Elm Avenue/Rabbit Road,28/06/2024,20:55:11,S,S,Overcast,30,20,Scooter,True
Elm Avenue/Rabbit Road,28/06/2024,09:44:45,W,W,Sunny,30,29,Car,False
Elm Avenue/Rabbit Road,28/06/2024,05:35:39,S,S,Clear,30,38,Scooter,False
Hanley Highway/Westway,28/06/2024,03:18:02,S,NE,Clear,20,14,Car,False
Hanley Highway/Westway,28/06/2024,21:36:51,E,E,Rain,20,18,Buss,False
Hanley Highway/Westway,28/06/2024,02:51:37,W,W,Sunny,20,17,Motorcycle,False
Hanley Highway/Westway,28/06/2024,07:59:03,S,NE,Overcast,20,16,Van,False
Hanley Highway/Westway,28/06/2024,05:48:43,NE,SW,Clear,20,18,Car,False
Elm Avenue/Rabbit Road,28/06/2024,18:38:32,W,S,Overcast,30,50,Car,True
Elm Avenue/Rabbit Road,28/06/2024,08:02:16,W,W,Clear,30,37,Van,False
