JunctionName,Date,timeOfDay,travel_Direction_in,travel_Direction_out,Weather_Conditions,JunctionSpeedLimit,VehicleSpeed,VehicleType,elctricHybrid
Oak Street/Pine Road,05/08/2024,00:08:06,NW,SE,Clear,30,19,Buss,True
Oak Street/Pine Road,05/08/2024,00:09:26,W,E,Clear,30,27,Scooter,True
River Road/Bridge Street,05/08/2024,00:10:26,W,E,Clear,50,26,Bus,True
Oak Street/Pine Road,05/08/2024,00:10:33,S,E,Clear,30,17,Scooter,False
Oak Street/Pine Road,05/08/2024,00:11:16,S,E,Clear,30,5,Motorcycle,False
River Road/Bridge Street,05/08/2024,00:13:40,E,W,Clear,50,10,Truck,False
Oak Street/Pine Road,05/08/2024,00:14:40,W,N,Clear,30,22,Bus,False
River Road/Bridge Street,05/08/2024,00:16:23,W,W,Clear,50,44,Buss,False
Oak Street/Pine Road,05/08/2024,00:23:13,NE,SE,Clear,30,33,Van,True
Oak Street/Pine Road,05/08/2024,00:31:46,SE,NW,Clear,30,39,Bus,False
River Road/Bridge Street,05/08/2024,00:34:17,S,E,Clear,50,27,Motorbike,True
River Road/Bridge Street,05/08/2024,00:34:53,E,W,Clear,50,46,Buss,False
Oak Street/Pine Road,05/08/2024,00:38:57,N,W,Clear,30,5,Scooter,False
River Road/Bridge Street,05/08/2024,00:42:09,S,S,Clear,50,24,Bicycle,True
Oak Street/Pine Road,05/08/2024,00:43:54,NW,N,Clear,30,43,Truck,False
Oak Street/Pine Road,05/08/2024,00:44:10,S,E,Clear,30,37,Van,False
Oak Street/Pine Road,05/08/2024,00:51:31,W,S,Clear,30,9,Car,True
River Road/Bridge Street,05/08/2024,00:55:45,W,W,Clear,50,36,Buss,False
Oak Street/Pine Road,05/08/2024,00:55:46,W,N,Clear,30,9,Car,True
River Road/Bridge Street,05/08/2024,01:05:19,S,E,Clear,50,34,Motorbike,True
Oak Street/Pine Road,05/08/2024,01:07:03,NE,S,Clear,30,21,Motorcycle,False
Oak Street/Pine Road,05/08/2024,01:07:47,N,W,Clear,30,38,Buss,False
River Road/Bridge Street,05/08/2024,01:07:55,W,W,Clear,50,28,Car,False
River Road/Bridge Street,05/08/2024,01:18:51,W,N,Clear,50,28,Motorbike,False
River Road/Bridge Street,05/08/2024,01:19:27,E,N,Clear,50,43,Scooter,False
River Road/Bridge Street,05/08/2024,01:20:50,N,S,Clear,50,35,Bus,False
Oak Street/Pine Road,05/08/2024,01:22:57,SE,SW,Clear,30,22,Bus,True
River Road/Bridge Street,05/08/2024,01:25:40,N,E,Clear,50,37,Bus,True
River Road/Bridge Street,05/08/2024,01:43:43,W,W,Clear,50,60,Motorbike,True
Oak Street/Pine Road,05/08/2024,02:17:57,NW,S,Clear,30,33,Buss,True
Oak Street/Pine Road,05/08/2024,02:28:27,SE,S,Clear,30,41,Bus,True
Oak Street/Pine Road,05/08/2024,02:32:28,S,S,Clear,30,20,Truck,False
Oak Street/Pine Road,05/08/2024,02:33:54,W,N,Clear,30,32,Bus,False
Oak Street/Pine Road,05/08/2024,02:55:08,NE,S,Clear,30,27,Bus,False
River Road/Bridge Street,05/08/2024,02:56:38,S,S,Clear,50,65,Bicycle,False
River Road/Bridge Street,05/08/2024,02:57:57,S,E,Clear,50,8,Truck,True
Oak Street/Pine Road,05/08/2024,02:58:53,SW,SE,Clear,30,35,Buss,False
Oak Street/Pine Road,05/08/2024,03:02:54,S,SW,Clear,30,28,Car,False
Oak Street/Pine Road,05/08/2024,03:02:56,SE,SW,Clear,30,15,Van,False
River Road/Bridge Street,05/08/2024,03:03:28,N,E,Clear,50,11,Van,True
Oak Street/Pine Road,05/08/2024,03:03:41,SE,SE,Clear,30,17,Bicycle,True
Oak Street/Pine Road,05/08/2024,03:14:07,N,N,Clear,30,41,Bicycle,True
Oak Street/Pine Road,05/08/2024,03:14:19,SW,NW,Clear,30,8,Van,False
River Road/Bridge Street,05/08/2024,03:24:37,W,W,Clear,50,31,Truck,False
River Road/Bridge Street,05/08/2024,03:29:51,N,E,Clear,50,48,Bus,False
