JunctionName,Date,timeOfDay,travel_Direction_in,travel_Direction_out,Weather_Conditions,JunctionSpeedLimit,VehicleSpeed,VehicleType,elctricHybrid
Victoria Street/Albert Road,15/07/2024,00:07:43,E,E,Heavy Rain,40,30,Car,False
Victoria Street/Albert Road,15/07/2024,00:11:59,N,E,Heavy Rain,40,31,Scooter,False
Victoria Street/Albert Road,15/07/2024,00:22:05,W,S,Heavy Rain,40,37,Scooter,False
High Street/Market Road,15/07/2024,00:32:56,E,SW,Heavy Rain,30,15,Truck,True
Victoria Street/Albert Road,15/07/2024,00:44:46,W,S,Heavy Rain,40,13,Motorcycle,False
Victoria Street/Albert Road,15/07/2024,00:46:02,E,N,Heavy Rain,40,38,Buss,False
High Street/Market Road,15/07/2024,00:51:05,E,SW,Heavy Rain,30,43,Motorbike,True
Victoria Street/Albert Road,15/07/2024,00:53:04,N,W,Heavy Rain,40,11,Van,True
Victoria Street/Albert Road,15/07/2024,01:00:45,E,N,Heavy Rain,40,23,Car,True
Victoria Street/Albert Road,15/07/2024,01:03:41,E,E,Heavy Rain,40,18,Motorbike,True
Victoria Street/Albert Road,15/07/2024,01:06:24,N,N,Heavy Rain,40,32,Motorbike,True
Victoria Street/Albert Road,15/07/2024,01:06:33,E,N,Heavy Rain,40,41,Bicycle,False
Victoria Street/Albert Road,15/07/2024,01:08:06,W,S,Heavy Rain,40,6,Scooter,True
Victoria Street/Albert Road,15/07/2024,01:15:39,S,E,Heavy Rain,40,5,Motorcycle,False
Victoria Street/Albert Road,15/07/2024,01:24:24,E,N,Heavy Rain,40,21,Bicycle,True
Victoria Street/Albert Road,15/07/2024,01:26:19,E,W,Heavy Rain,40,23,Buss,True
Victoria Street/Albert Road,15/07/2024,01:32:58,E,N,Heavy Rain,40,12,Motorbike,False
High Street/Market Road,15/07/2024,01:41:20,S,NE,Heavy Rain,30,21,Van,False
Victoria Street/Albert Road,15/07/2024,01:53:08,S,N,Heavy Rain,40,17,Bus,False
Victoria Street/Albert Road,15/07/2024,01:53:33,E,E,Heavy Rain,40,40,Van,True
High Street/Market Road,15/07/2024,01:55:42,W,S,Heavy Rain,30,20,Motorbike,False
Victoria Street/Albert Road,15/07/2024,01:56:15,W,N,Heavy Rain,40,40,Motorbike,False
Victoria Street/Albert Road,15/07/2024,01:58:49,E,E,Heavy Rain,40,32,Motorbike,False
Victoria Street/Albert Road,15/07/2024,02:03:38,S,N,Heavy Rain,40,50,Bus,True
Victoria Street/Albert Road,15/07/2024,02:04:36,E,W,Heavy Rain,40,6,Scooter,True
High Street/Market Road,15/07/2024,02:05:10,NW,W,Heavy Rain,30,25,Motorcycle,False
High Street/Market Road,15/07/2024,02:06:16,E,S,Heavy Rain,30,29,Bicycle,True
Victoria Street/Albert Road,15/07/2024,02:08:32,N,E,Heavy Rain,40,21,Buss,False
High Street/Market Road,15/07/2024,02:11:08,NE,S,Heavy Rain,30,45,Scooter,False
Victoria Street/Albert Road,15/07/2024,02:13:33,N,N,Heavy Rain,40,51,Truck,False
High Street/Market Road,15/07/2024,02:16:41,NW,N,Heavy Rain,30,38,Truck,False
High Street/Market Road,15/07/2024,02:17:49,SE,NW,Heavy Rain,30,30,Motorbike,False
High Street/Market Road,15/07/2024,02:19:13,NW,W,Heavy Rain,30,31,Van,True
Victoria Street/Albert Road,15/07/2024,02:24:57,E,N,Heavy Rain,40,23,Motorbike,False
Victoria Street/Albert Road,15/07/2024,02:29:51,N,E,Heavy Rain,40,40,Motorbike,False
Victoria Street/Albert Road,15/07/2024,02:31:59,S,W,Heavy Rain,40,16,Scooter,True
Victoria Street/Albert Road,15/07/2024,02:34:14,N,W,Heavy Rain,40,49,Scooter,True
Victoria Street/Albert Road,15/07/2024,02:41:01,S,W,Heavy Rain,40,47,Motorbike,False
Victoria Street/Albert Road,15/07/2024,02:43:39,E,N,Heavy Rain,40,8,Motorcycle,False
Victoria Street/Albert Road,15/07/2024,02:49:19,E,E,Heavy Rain,40,29,Bus,False
Victoria Street/Albert Road,15/07/2024,02:52:52,N,N,Heavy Rain,40,36,Truck,True
High Street/Market Road,15/07/2024,02:59:56,SW,N,Heavy Rain,30,6,Motorbike,False
Victoria Street/Albert Road,15/07/2024,03:02:36,W,W,Heavy Rain,40,38,Bicycle,True
High Street/Market Road,15/07/2024,03:02:57,E,SW,Heavy Rain,30,13,Motorbike,True
Victoria Street/Albert Road,15/07/2024,03:03:10,W,W,Heavy Rain,40,35,Bicycle,False
High Street/Market Road,15/07/2024,03:07:58,S,SW,Heavy Rain,30,44,Car,False
High Street/Market Road,15/07/2024,03:10:49,N,S,Heavy Rain,30,18,Truck,False
Victoria Street/Albert Road,15/07/2024,03:19:28,W,N,Heavy Rain,40,26,Truck,False
